hunger,lat,lon
8,42.469150,-73.829560
10,42.637380,-73.725870
9,42.518386,-74.159970
3,42.842133,-73.868280
16,42.631190,-74.572000
2,42.876756,-74.054520
4,42.932326,-73.793630
5,42.638579,-73.480510
16,42.925765,-73.606640
22,42.587708,-74.835360
6,42.479967,-73.736470
10,42.668825,-74.301340
8,42.539822,-73.815450
2,42.646978,-73.871510
10,42.757815,-74.343690
0,42.521038,-73.851898
0,43.515611,-74.374310
32,42.317959,-73.518020
12,42.831683,-74.456670
15,42.414519,-74.595770
10,42.552127,-73.395930
3,42.576120,-73.445590
6,42.975154,-73.665760
13,42.285749,-73.733532
12,42.377829,-73.759430
13,42.343986,-73.734770
18,42.559096,-74.552820
16,42.393192,-73.967630
0,42.950020,-74.296985
19,42.731628,-73.664650
19,42.785887,-73.662210
8,42.743289,-73.694820
9,42.426901,-73.664050
3,42.884779,-73.537030
4,42.638481,-73.959460
10,42.624507,-74.467720
7,42.805350,-73.689760
13,42.729278,-73.709130
16,43.433050,-74.290100
6,42.413742,-73.817730
9,42.515818,-74.049780
3,42.529042,-74.449370
13,42.479384,-73.474809
8,42.631625,-73.616190
16,42.610314,-74.724010
2,42.685311,-73.638010
32,42.640129,-73.760610
13,42.678112,-73.829830
16,42.683727,-73.733290
7,42.713328,-73.817900
34,42.669645,-73.777190
54,42.653979,-73.748330
15,42.654978,-73.800530
22,42.640813,-73.785600
27,42.656679,-73.758940
3,42.705345,-73.769240
0,42.692909,-73.838035
6,42.862193,-73.963170
10,42.769009,-73.936190
14,42.779026,-73.905070
23,42.814476,-73.943370
11,42.793326,-73.989420
40,42.804076,-73.935710
17,42.820909,-73.920020
4,42.800276,-73.880960
17,41.932315,-74.022590
8,41.811322,-74.234710
6,42.320081,-74.072880
17,42.130111,-74.575740
14,42.321453,-74.339260
13,42.061841,-74.160630
5,42.114646,-74.455700
0,41.879160,-74.039950
11,42.001351,-74.261900
13,42.307982,-74.008000
19,42.223002,-73.904520
56,42.105611,-74.291430
14,41.907604,-73.989254
23,42.357579,-74.151360
30,41.852449,-74.106050
8,41.674288,-74.378330
2,42.249541,-74.545580
2,42.390291,-74.201640
22,42.378679,-74.104430
5,42.240343,-74.159320
23,42.167622,-74.153060
20,41.727588,-74.420610
9,41.816628,-73.978240
7,42.183262,-74.521540
27,42.361838,-74.024710
19,41.949795,-74.003246
4,42.000093,-74.159460
12,42.368009,-74.501370
9,41.725808,-74.521060
0,42.195510,-74.102319
0,42.183045,-74.925617
1,42.302596,-74.227110
14,41.801696,-74.141870
0,41.878801,-74.345684
20,42.222061,-74.234180
6,41.926740,-74.067970
8,42.260634,-74.275270
10,41.790385,-74.304130
0,42.073259,-74.189300
9,41.993639,-73.998430
0,42.157937,-74.230340
10,42.281117,-73.940060
21,42.223407,-74.386635
0,42.098698,-73.935418
7,42.280261,-74.183490
15,42.151449,-74.642610
6,42.034256,-73.998760
19,42.038539,-74.239050
10,41.802898,-74.400250
0,42.227987,-74.689120
41,42.406464,-74.156920
4,41.912356,-74.247240
5,42.174411,-74.015990
15,42.081269,-74.326290
13,42.136293,-74.473639
2,41.905004,-73.979570
16,42.297725,-74.400630
5,42.442592,-74.241590
5,42.284773,-74.023880
13,41.839620,-74.040330
10,41.846938,-74.076020
5,42.260709,-74.030780
19,42.285644,-74.590110
19,42.017632,-74.007868
10,42.085634,-73.976850
6,42.142121,-74.406500
14,41.974857,-74.206860
3,42.270559,-73.957290
8,41.663895,-74.424533
7,41.850294,-74.166190
6,42.199479,-74.125140
3,41.831082,-74.072070
14,41.855761,-73.992070
8,41.757766,-74.353920
52,42.108689,-73.934577
19,41.998199,-74.109670
0,42.209414,-74.347670
0,41.805576,-73.968450
1,41.961316,-74.276870
6,42.080232,-74.248010
12,42.326918,-74.246570
14,42.037356,-74.110160
8,41.852959,-73.557270
15,42.086628,-73.664200
9,42.045941,-73.577920
0,42.035434,-73.909234
6,42.005984,-73.921320
9,41.505993,-73.961980
0,41.552793,-73.968183
0,42.220962,-73.711820
4,41.874183,-73.767270
8,41.681096,-74.064210
21,42.112895,-73.562010
6,42.144585,-73.514630
2,41.434476,-74.035840
4,41.442589,-74.013890
9,42.176216,-73.650360
11,41.738853,-73.589210
8,42.080964,-73.778560
8,41.537232,-73.897200
5,41.691524,-74.187640
7,42.123977,-73.861990
9,41.713682,-73.996500
10,42.204681,-73.547750
0,42.210991,-73.687001
1,41.519085,-73.672410
4,41.573253,-73.793470
14,42.229480,-73.758460
7,41.779541,-73.901550
3,41.656933,-73.745390
6,41.603333,-73.984150
11,41.484988,-74.216100
10,41.785109,-73.680750
10,41.961002,-73.520110
8,41.656805,-73.968310
15,41.664239,-74.110600
5,41.520396,-74.247120
19,41.521593,-74.040720
5,41.463590,-74.059750
13,41.751566,-74.094750
13,41.483689,-73.572930
10,41.570328,-73.598250
25,42.248620,-73.647600
12,41.611340,-74.327640
11,41.997807,-73.666630
8,41.746469,-73.804140
2,41.614667,-73.677090
8,42.002691,-73.844200
9,41.930983,-73.882710
1,41.915068,-73.951730
0,41.478722,-74.156260
5,41.433856,-74.119630
7,41.803384,-73.781470
7,41.854465,-73.899220
5,41.891870,-73.698880
3,41.549525,-73.727450
16,42.060034,-73.883930
13,41.721384,-73.716200
9,41.563701,-74.175500
17,41.615036,-74.154610
7,41.594660,-73.895790
12,41.782781,-73.557920
18,41.646584,-73.562090
20,41.701443,-73.919220
5,41.670860,-73.881070
0,41.759905,-73.743714
22,41.653071,-74.697480
12,41.480326,-74.926940
0,41.660230,-74.904380
8,41.564426,-74.426500
0,41.719016,-74.755373
13,41.769427,-75.028080
5,41.858278,-74.950340
20,41.926119,-74.556750
14,41.694153,-74.975930
20,41.475235,-74.602760
15,41.545318,-74.875330
42,41.732505,-74.608960
4,41.734913,-74.750130
32,41.848244,-75.038780
11,41.483970,-74.811860
14,41.648888,-74.570640
13,41.853040,-74.529150
4,41.838672,-75.087180
0,41.720235,-74.729010
21,41.534810,-74.846560
13,41.762944,-75.030592
1,41.436732,-74.645580
25,41.752458,-74.669960
8,41.774223,-74.922110
18,41.689600,-74.827200
12,41.729581,-74.961146
26,41.679152,-74.657000
3,41.677243,-74.991090
18,41.798476,-74.736100
23,41.920201,-74.785700
29,41.780299,-74.656180
11,41.901849,-75.104930
33,41.676676,-74.806740
15,41.690795,-74.522730
13,41.588604,-74.993850
3,41.845381,-74.614270
2,41.815316,-74.979950
6,41.719016,-74.755373
3,41.864326,-74.729610
0,41.651453,-74.436159
9,41.445150,-74.840030
13,41.374734,-74.663150
4,41.614218,-74.588360
9,41.948360,-74.944750
6,41.562141,-74.712520
5,41.659740,-74.812000
42,41.705649,-74.629850
17,41.429425,-74.722440
8,41.719016,-74.755373
13,41.736523,-74.826340
0,41.676139,-74.621700
9,41.518125,-74.575660
11,41.649008,-74.857510
6,41.808540,-74.845990
8,41.784477,-74.591090
10,41.708062,-74.569800
10,41.592087,-74.506770
1,41.807694,-74.879570
14,41.522825,-74.931640
16,43.312104,-73.648250
8,43.288818,-73.636430
7,43.330471,-73.678160
4,43.758733,-73.762060
17,43.229054,-73.467400
8,43.484741,-73.891510
0,43.624220,-74.061201
0,43.865351,-74.433660
3,43.582318,-73.655150
9,43.703484,-73.711230
10,43.039226,-73.385570
11,43.638919,-73.817820
12,43.583211,-73.478520
1,43.461692,-73.401970
12,43.248892,-73.851720
33,43.178983,-73.407670
4,43.509640,-73.697760
7,43.414017,-73.504640
8,43.253125,-73.585490
5,43.174566,-73.688480
19,43.376197,-73.311530
11,43.128878,-73.855500
6,43.095447,-73.501770
7,43.292593,-73.978000
10,43.750773,-73.518810
5,43.500423,-73.260440
8,43.345875,-73.406510
16,43.316622,-73.573500
2,43.642332,-73.509480
10,43.761451,-74.266310
8,43.569961,-73.983450
15,43.495335,-73.629870
8,43.419280,-73.707660
7,43.329851,-73.829110
16,43.976430,-74.566690
1,43.433107,-73.291520
15,43.092312,-73.970330
11,43.841369,-74.037470
8,43.972307,-74.153210
17,43.683067,-73.974570
12,43.996303,-73.721470
4,43.722082,-74.105460
3,43.795443,-73.939940
34,43.888754,-73.658120
13,43.182144,-73.886890
30,43.719612,-73.811160
14,43.745310,-73.415690
0,43.675377,-73.932509
4,43.067531,-73.930020
33,43.667618,-74.456913
15,43.200351,-73.352600
6,43.080399,-73.770380
5,43.835376,-73.758020
5,43.088919,-73.596330
0,44.145678,-73.815204
5,43.115950,-73.318520
0,43.685475,-73.507670
8,43.426652,-73.961740
11,43.858226,-73.454140
28,43.088397,-73.591652
14,43.538744,-73.805270
10,43.638462,-73.916930
18,43.547822,-73.383180
18,44.693271,-73.466170
3,44.683468,-73.446390
13,44.879986,-73.656940
0,44.530527,-73.467340
7,44.466008,-73.734410
8,44.421547,-73.992560
15,44.927856,-74.602110
17,44.830736,-74.514340
16,44.915973,-74.165650
4,44.692862,-73.666670
22,44.965887,-73.436360
19,44.901543,-74.060540
7,44.888210,-73.432250
12,44.224185,-74.765390
17,44.948894,-73.965450
11,44.706561,-73.744555
12,44.953782,-74.328090
20,44.220971,-74.850530
13,43.950370,-73.483570
3,44.847709,-73.582317
23,44.731571,-74.534850
12,44.212623,-73.595420
0,44.881962,-73.963279
17,44.865972,-73.895840
12,44.832180,-73.800010
12,44.259479,-73.405910
17,44.972087,-74.487030
13,44.552725,-74.317958
3,44.391900,-73.730280
3,44.254620,-73.789340
7,44.171625,-73.781310
15,44.483465,-73.480100
15,44.360566,-74.258010
8,44.292147,-73.959850
4,44.322102,-73.540400
38,44.715159,-73.918240
16,44.813419,-74.277200
7,44.787489,-73.987020
11,44.088275,-73.517450
38,44.833996,-74.571600
13,44.958106,-73.580220
23,44.951443,-73.680230
5,44.025573,-73.512870
29,44.061849,-73.583840
8,44.711769,-73.582190
3,44.129094,-73.647920
7,44.698253,-74.688430
24,44.812315,-74.407840
34,44.784144,-74.662130
20,44.711622,-74.096790
3,44.454639,-74.287530
3,44.563323,-73.523070
7,44.234289,-74.555957
11,44.041901,-73.461320
8,44.526437,-73.409243
16,44.552725,-74.317958
0,44.145678,-73.815204
45,44.664956,-73.761204
14,44.990606,-73.370170
24,44.630910,-74.537210
13,44.617642,-73.811960
15,44.324736,-74.168430
28,44.589583,-73.713550
10,44.220344,-74.462990
21,44.329473,-73.792820
10,44.519178,-74.060530
15,44.819829,-73.511560
12,44.195201,-73.471940
9,44.373007,-73.406680
9,44.145678,-73.815204
0,44.082670,-73.530601
5,42.823968,-76.062425
13,42.922273,-76.558820
0,43.163364,-76.509567
8,42.758088,-76.669980
6,43.165134,-76.339010
2,43.279405,-75.931070
9,43.225081,-76.139660
14,43.164297,-75.960570
6,43.039916,-76.287570
9,43.086439,-75.764840
7,43.182054,-76.571760
4,42.912846,-76.708180
6,42.938816,-75.830370
12,43.299689,-76.151440
7,43.059992,-75.871160
5,43.171707,-76.095050
12,42.560795,-75.932410
7,43.183500,-76.180020
27,43.252084,-75.848530
6,43.285470,-76.001380
16,42.591109,-76.192170
53,42.870698,-75.911280
16,42.728977,-75.866330
9,42.483348,-76.279010
36,43.165514,-75.680910
10,43.074266,-76.055380
12,43.025843,-76.425890
7,42.859332,-75.742610
0,42.484414,-76.382710
2,42.847248,-75.978180
8,43.431311,-76.200448
5,43.028516,-76.008760
15,42.505075,-76.352830
23,43.323470,-76.400290
8,42.677418,-76.541540
14,42.763823,-75.751880
12,42.591961,-76.393450
16,43.317683,-76.567670
12,43.354706,-76.148710
8,42.680693,-76.185660
6,42.973991,-76.074930
6,43.074460,-76.478740
12,42.667102,-76.629390
8,43.099547,-75.961900
16,43.647881,-76.016700
12,42.883503,-76.109830
7,42.706981,-76.156103
8,43.105917,-76.193650
9,43.152017,-76.220680
10,42.643214,-76.425780
8,42.593363,-76.077890
0,42.554215,-76.292723
36,43.339851,-76.096357
4,42.987329,-75.967630
3,42.979467,-76.338110
6,42.891595,-76.283180
33,43.258952,-76.614410
18,43.105771,-76.414820
19,43.089111,-76.621747
17,43.468092,-76.238200
31,43.397671,-76.482365
3,43.077067,-76.006950
15,43.002267,-76.704722
9,42.755698,-76.412260
13,42.950501,-76.157970
6,42.837642,-75.847780
0,43.236407,-75.776918
6,42.639288,-75.820120
18,43.449201,-76.479920
14,43.415157,-76.114160
11,43.262012,-76.229120
13,42.968619,-75.679351
15,43.235916,-76.313390
11,42.607076,-75.852160
10,43.049797,-76.660550
21,42.770700,-76.186420
16,43.559926,-76.136190
9,43.235909,-76.715450
26,43.560754,-75.990690
12,43.653475,-76.132140
10,43.099860,-76.757160
10,42.774714,-76.570450
12,42.924166,-76.783660
4,42.897167,-76.389630
6,42.991112,-76.451147
11,42.662648,-75.762650
12,43.337718,-76.672900
5,43.209147,-75.723070
14,42.717801,-75.972090
8,42.802031,-76.127170
12,42.832007,-76.666410
0,43.188520,-75.712551
